Updated accumulative weights and branch weights:
Transaction 346: Accumulative weight = 284, Branch weight = 0
Transaction 347: Accumulative weight = 326, Branch weight = 0
Transaction 348: Accumulative weight = 606, Branch weight = 0
Transaction 349: Accumulative weight = 270, Branch weight = 0
Transaction 350: Accumulative weight = 93, Branch weight = 0
Transaction 351: Accumulative weight = 550, Branch weight = 0
Transaction 352: Accumulative weight = 283, Branch weight = 0
Transaction 353: Accumulative weight = 232, Branch weight = 0
Transaction 354: Accumulative weight = 45, Branch weight = 0
Transaction 355: Accumulative weight = 90, Branch weight = 0
Transaction 356: Accumulative weight = 92, Branch weight = 0
Transaction 357: Accumulative weight = 141, Branch weight = 0
Transaction 358: Accumulative weight = 93, Branch weight = 0
Transaction 359: Accumulative weight = 94, Branch weight = 0
Transaction 360: Accumulative weight = 48, Branch weight = 0
Transaction 361: Accumulative weight = 177, Branch weight = 0
Transaction 362: Accumulative weight = 138, Branch weight = 0
Transaction 363: Accumulative weight = 47, Branch weight = 0
Transaction 364: Accumulative weight = 47, Branch weight = 0
Transaction 365: Accumulative weight = 94, Branch weight = 0
Transaction 366: Accumulative weight = 45, Branch weight = 0
Transaction 367: Accumulative weight = 92, Branch weight = 0
Transaction 368: Accumulative weight = 45, Branch weight = 0
Transaction 369: Accumulative weight = 46, Branch weight = 0
Transaction 370: Accumulative weight = 44, Branch weight = 0
Transaction 371: Accumulative weight = 41, Branch weight = 0
Transaction 372: Accumulative weight = 47, Branch weight = 0
Transaction 373: Accumulative weight = 44, Branch weight = 0
Transaction 374: Accumulative weight = 93, Branch weight = 0
Transaction 375: Accumulative weight = 46, Branch weight = 0
Transaction 376: Accumulative weight = 45, Branch weight = 0
Transaction 377: Accumulative weight = 44, Branch weight = 0
Transaction 378: Accumulative weight = 45, Branch weight = 0
Transaction 379: Accumulative weight = 46, Branch weight = 0
Transaction 380: Accumulative weight = 92, Branch weight = 0
Transaction 381: Accumulative weight = 45, Branch weight = 0
Transaction 382: Accumulative weight = 46, Branch weight = 0
Transaction 383: Accumulative weight = 45, Branch weight = 0
